iter	Logloss
0	0.6895555596
1	0.6862399322
2	0.6830162281
3	0.679275997
4	0.6759857816
5	0.6727729577
6	0.6693539454
7	0.6661430695
8	0.6633884001
9	0.6605088564
10	0.6578322635
11	0.6550257472
12	0.6527608614
13	0.6504960361
14	0.6479739478
15	0.6453722595
16	0.6428833691
17	0.6401170195
18	0.637500441
19	0.6352334803
20	0.6332230797
21	0.6310383225
22	0.6285767107
23	0.6262651126
24	0.6246298588
25	0.6218753268
26	0.6198818888
27	0.6172611194
28	0.6149371149
29	0.6125289829
30	0.6105606931
31	0.6089366152
32	0.6064488229
33	0.6047044491
34	0.6022612712
35	0.6003378126
36	0.598655276
37	0.5968003901
38	0.5949497066
39	0.592958618
40	0.5914263932
41	0.5898320315
42	0.5883070745
43	0.5868652207
44	0.5851500849
45	0.5832663102
46	0.5821327133
47	0.5806243371
48	0.5783430633
49	0.5772584286
50	0.5759523522
51	0.5746585317
52	0.5725437076
53	0.570513046
54	0.5690282269
55	0.5674626721
56	0.5659927682
57	0.5647681318
58	0.5634417366
59	0.5619807332
60	0.5606897484
61	0.5595521747
62	0.5585324162
63	0.5572359138
64	0.5557198764
65	0.5538397085
66	0.5526161906
67	0.5510935575
68	0.5498566102
69	0.5482566906
70	0.5470446139
71	0.5455836279
72	0.5439976875
73	0.5425489121
74	0.5416525651
75	0.5406210849
76	0.5392220818
77	0.5378475793
78	0.5364622276
79	0.5357260384
80	0.534642782
81	0.5333755792
82	0.531677962
83	0.5305197453
84	0.5289803286
85	0.5282367309
86	0.5273090448
87	0.5261764131
88	0.5250788906
89	0.5238952005
90	0.5227350645
91	0.5216673205
92	0.5207752869
93	0.5200354011
94	0.5186741542
95	0.5179688785
96	0.5171592383
97	0.5163910591
98	0.5154376608
99	0.514903275
100	0.5133553426
101	0.5122941636
102	0.5109639587
103	0.5101586079
104	0.5091317604
105	0.5080189751
106	0.5069183538
107	0.5059266853
108	0.5046115186
109	0.5035172584
110	0.5026434989
111	0.5019146962
112	0.5012431999
113	0.5003007079
114	0.4993519416
115	0.4979402529
116	0.4966330469
117	0.4956177554
118	0.4946399748
119	0.4931073441
120	0.4922637638
121	0.4909451166
122	0.4896663269
123	0.4887131764
124	0.4876962597
125	0.4866659542
126	0.4859520467
127	0.4850656355
128	0.4838873197
129	0.4829175561
130	0.481972576
131	0.4810291082
132	0.4802781411
133	0.4794916254
134	0.4787422426
135	0.4781156371
136	0.4773050191
137	0.4767257762
138	0.4756438529
139	0.475032432
140	0.4745143024
141	0.4734366085
142	0.472721976
143	0.4714740208
144	0.470577874
145	0.4697376597
146	0.4687540002
147	0.4676043371
148	0.4669370982
149	0.4663118296
150	0.4654606098
151	0.4642063589
152	0.4631979127
153	0.4622634925
154	0.4611379056
155	0.4604278838
156	0.459529644
157	0.4590496326
158	0.4582562602
159	0.4573069174
160	0.4568698534
161	0.4562628429
162	0.4552413571
163	0.4545118415
164	0.4538825193
165	0.4529803296
166	0.4520369353
167	0.4512117186
168	0.4501858219
169	0.4490800736
170	0.4484791857
171	0.4478323105
172	0.4472942635
173	0.4462908315
174	0.4456028301
175	0.4449663154
176	0.443866137
177	0.4431450593
178	0.442393427
179	0.4412192182
180	0.440703055
181	0.4400726888
182	0.439425739
183	0.438684674
184	0.4381671713
185	0.4374351537
186	0.4364542168
187	0.4359563196
188	0.4352343607
189	0.4344263541
190	0.4338357716
191	0.432724179
192	0.4321347532
193	0.431358316
194	0.4308461873
195	0.4300830097
196	0.4296524544
197	0.4286575439
198	0.427761218
199	0.4269920916
200	0.426121338
201	0.4254954232
202	0.4248893763
203	0.424132629
204	0.423137728
205	0.4222812761
206	0.4218645846
207	0.4212725804
208	0.4206293195
209	0.4199122417
210	0.4190127737
211	0.4181619609
212	0.4175563486
213	0.4167311066
214	0.4163687891
215	0.4151849188
216	0.4146926945
217	0.4141749075
218	0.4134508302
219	0.4126479221
220	0.4120163267
221	0.4113896949
222	0.4106538058
223	0.4100006974
224	0.4094588493
225	0.4088828111
